id,sent,is_response,is_postal,kind,is_escalation,status,timestamp,sender,status_name,request_id,url_count
653846,True,True,False,email,False,resolved,2021-12-20T17:37:41+01:00,Landratsamt Neu-Ulm,Anfrage abgeschlossen,235439,3
651626,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.651572+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235440,3
651627,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.652808+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235441,3
659060,True,True,False,email,False,resolved,2022-01-12T15:57:12+01:00,Landratsamt Nürnberger Land,Anfrage abgeschlossen,235441,3
651628,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.655407+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235442,3
656634,True,True,False,email,False,resolved,2022-01-04T15:49:24+01:00,Landratsamt Oberallgäu,Anfrage abgeschlossen,235442,3
651630,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.753129+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235443,3
653021,True,True,False,email,False,awaiting_response,2021-12-16T16:45:40+01:00,Landratsamt Ortenaukreis,Warte auf Antwort,235443,3
653158,True,False,False,email,False,,2021-12-17T11:23:19.181903+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),,235443,3
653167,True,True,False,email,False,awaiting_response,2021-12-17T11:31:14+01:00,Landratsamt Ortenaukreis,Warte auf Antwort,235443,3
660513,True,True,False,email,False,resolved,2022-01-17T16:16:25+01:00,Landratsamt Ortenaukreis,Anfrage abgeschlossen,235443,3
651629,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.750431+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235444,3
652659,True,True,False,email,False,awaiting_response,2021-12-15T14:58:42+01:00,Landratsamt Ostalbkreis,Warte auf Antwort,235444,3
653112,True,True,False,email,False,resolved,2021-12-17T09:09:20+01:00,Landratsamt Ostalbkreis,Anfrage abgeschlossen,235444,3
651631,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.752917+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235445,3
652599,True,True,False,email,False,awaiting_response,2021-12-15T13:39:24+01:00,Landratsamt Ostallgäu,Warte auf Antwort,235445,3
655027,True,True,False,email,False,resolved,2021-12-27T08:31:25+01:00,Landratsamt Ostallgäu,Anfrage abgeschlossen,235445,3
651633,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.863461+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235446,3
652949,True,True,False,email,False,resolved,2021-12-16T14:30:15+01:00,Landratsamt Passau,Anfrage abgeschlossen,235446,3
651632,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.862725+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235447,3
651634,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.866841+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235448,3
657038,True,True,False,email,False,resolved,2022-01-05T16:42:40+01:00,Landratsamt Pfaffenhofen a.d.Ilm,Anfrage abgeschlossen,235448,3
651635,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.972405+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235449,3
651914,True,True,False,email,False,resolved,2021-12-13T16:28:55+01:00,Landratsamt Regen,Anfrage abgeschlossen,235449,3
651636,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.974429+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235450,3
651637,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.978395+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235451,3
652970,True,True,False,email,False,resolved,2021-12-16T15:04:24+01:00,Landratsamt Rems-Murr-Kreis,Anfrage abgeschlossen,235451,3
651638,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.078128+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235452,3
654444,True,True,False,email,False,awaiting_response,2021-12-22T15:26:54+01:00,Landratsamt Reutlingen,Warte auf Antwort,235452,3
659525,True,True,False,email,False,resolved,2022-01-13T17:17:03+01:00,Landratsamt Reutlingen,Anfrage abgeschlossen,235452,3
651639,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.081847+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235453,3
656643,True,True,False,email,False,awaiting_response,2022-01-04T16:06:02+01:00,Landratsamt Rhein-Neckar-Kreis,Warte auf Antwort,235453,3
661772,True,True,False,email,False,resolved,2022-01-20T14:43:38+01:00,Landratsamt Rhein-Neckar-Kreis,Anfrage abgeschlossen,235453,3
651640,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.086691+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235454,3
658614,True,True,False,email,False,resolved,2022-01-11T14:30:21+01:00,Landratsamt Rhön-Grabfeld,Anfrage abgeschlossen,235454,3
651641,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.173014+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235455,3
651642,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.177840+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235456,3
651643,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.183806+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235457,3
651644,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.272857+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235458,3
652360,True,True,False,email,False,awaiting_response,2021-12-14T18:11:20+01:00,Landratsamt Rottweil,Warte auf Antwort,235458,3
658070,True,True,False,email,False,resolved,2022-01-10T10:00:15+01:00,Landratsamt Rottweil,Anfrage abgeschlossen,235458,3
651645,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.274002+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235459,3
651771,True,True,False,email,False,awaiting_response,2021-12-13T12:22:11+01:00,Landratsamt Sächsische Schweiz-Osterzgebirge,Warte auf Antwort,235459,3
651646,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.284198+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235460,3
665173,True,True,False,email,False,resolved,2022-01-31T14:56:38+01:00,Landratsamt Schwäbisch Hall,Anfrage abgeschlossen,235460,3
651647,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.367529+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235461,3
651648,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.372706+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235462,3
651649,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.373102+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235463,3
651650,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.455793+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235464,3
657998,True,True,False,email,False,resolved,2022-01-10T07:26:25+01:00,Landratsamt Sigmaringen,Anfrage abgeschlossen,235464,3
651651,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.466469+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235465,3
655279,True,True,False,email,False,resolved,2021-12-28T07:44:24+01:00,Landratsamt Tirschenreuth,Anfrage abgeschlossen,235465,3
651652,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.468084+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235466,3
651654,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.563724+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235467,3
653845,True,True,False,email,False,resolved,2021-12-20T17:32:49+01:00,Landratsamt Tübingen,Anfrage abgeschlossen,235467,3
651653,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.563649+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235468,3
651655,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.568440+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235469,3
654562,True,True,False,email,False,resolved,2021-12-23T07:52:03+01:00,Landratsamt Unterallgäu,Anfrage abgeschlossen,235469,3
651656,True,False,False,email,False,awaiting_response,2021-12-13T12:09:02.659074+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235470,3
